name,type,address,atoll,contact,email,google_maps_url,page
DH. Maaenboodhoo Health Centre,Health Centre Grade 1,"DH. Maaenboodhoo Health Centre, DH.",DH.,3328887,[email protected],https://www.google.com/maps/search/?api=1&query=DH.%20Maaenboodhoo%20Health%20Centre%2C%20DH.%2C%20Maldives,8
Dh. Meedhoo Health Center,Health Centre Grade 3,"Dh. Meedhoo Health Center, Dhaalu Atoll",Dhaalu Atoll,3328887,[email protected],https://www.google.com/maps/search/?api=1&query=Dh.%20Meedhoo%20Health%20Center%2C%20Dhaalu%20Atoll%2C%20Maldives,8
DH. Rinbidhoo Health Centre,Health Centre Grade 1,"DH. Rinbidhoo Health Centre, DH.",DH.,3328887,[email protected],https://www.google.com/maps/search/?api=1&query=DH.%20Rinbidhoo%20Health%20Centre%2C%20DH.%2C%20Maldives,8
Dharavandhoo Medical Center,General Clinic,"Dharavandhoo Medical Center, Dharavandhoo",Dharavandhoo,9641334,[email protected],https://www.google.com/maps/search/?api=1&query=Dharavandhoo%20Medical%20Center%2C%20Dharavandhoo%2C%20Maldives,8
Dharumavantha Hospital,Tertiary Hospital,"Dharumavantha Hospital, Dharumavantha",Dharumavantha,,,https://www.google.com/maps/search/?api=1&query=Dharumavantha%20Hospital%2C%20Dharumavantha%2C%20Maldives,8
Dhigali Clinic,General Clinic,"Dhigali Clinic, Dhigali",Dhigali,3323080,[email protected],https://www.google.com/maps/search/?api=1&query=Dhigali%20Clinic%2C%20Dhigali%2C%20Maldives,8
Dhirithi Faruvaa,Complementary Medicine Clinic,"Dhirithi Faruvaa, Dhirithi",Dhirithi,7784814,[email protected],https://www.google.com/maps/search/?api=1&query=Dhirithi%20Faruvaa%2C%20Dhirithi%2C%20Maldives,8
Dhivehi Beys Clinic,Traditional Medicine Clinic,"Dhivehi Beys Clinic, Dhivehi",Dhivehi,7734716,[email protected],https://www.google.com/maps/search/?api=1&query=Dhivehi%20Beys%20Clinic%2C%20Dhivehi%2C%20Maldives,8
Dhoonidhoo Clinic,General Clinic,"Dhoonidhoo Clinic, Dhoonidhoo",Dhoonidhoo,300078,[email protected],https://www.google.com/maps/search/?api=1&query=Dhoonidhoo%20Clinic%2C%20Dhoonidhoo%2C%20Maldives,8
Dhugethi Dhivehibeys clinic,Traditional Medicine Clinic,"Dhugethi Dhivehibeys clinic, Dhugethi",Dhugethi,7787818,[email protected],https://www.google.com/maps/search/?api=1&query=Dhugethi%20Dhivehibeys%20clinic%2C%20Dhugethi%2C%20Maldives,8
